full_text,sentiment
"Si cometió crímenes los hizo en Colombia, que pague acá cómo van a poner el pueblo de cabezas por las bobadas de un gobierno corrupto, y a pocos días de elecciones presidenciales.
Ahora sí van a joder más el pueblo colombiano",negative
"Rodolfo Hernández: “Fajardo como que ya pasó a la historia”. 
https://t.co/TNKkWRoArj

#Elecciones2022 #ColombiaDecide https://t.co/Nsxju7udkn",negative
"@CarlosA77174284 @lafm @Registraduria @CCongresoCol @PGN_COL @MinInterior Creo que estamos cerca muy cerca a una confrontación civil en Colombia....

Estas elecciones estarán viciadas y se viene lo peor xa este país.
Hay muchos intereses pagos a este bandido ""Registrador"".",negative
"Que tristeza que @PGN_COL @FiscaliaCol @RamaJudicialCol @MinInterior NO puedan sacar a  mag @CNE_COLOMBIA Alexander Vega @Registraduria y estén sometidos a un delincuente @petrogustavo, #Colombia merece explicación bodrio elecciones y candidato que se alia con mafias y narcos.",negative
"@_RoqueCastro No se procupen. Existe la alternativa que aplicaron el 19 de abril de 1970 cuando le robaron las elecciones a Gustavo Rojas Pinilla y el ""establecimiento"" colombiano crea el M-19, Movimiento 19 de Abril. @ejdecena 
https://t.co/fvxvtCKznD",negative
@IvanDuque Quien  da vía libre a paramilitares para sitiar a Colombia y y afectar elecciones @ONUHumanRights @MisionONUCol @Declaracion @RIDH_INHR @CorteIDH @OACNUDH https://t.co/fZ2yFvjIwY,negative
"Colombia, país donde un expresidente hace un paro armado en plenas elecciones y no pasa absolutamente nada.",negative
"🇨🇴 Después de todo el manto de dudas y fraudes de las pasadas elecciones en #Colombia, que confianza produce las votaciones del 29 de Mayo??
/RT",negative
"Asesinado militante campesino del Pacto Histórico en Colombia

Pese a aproximarse las elecciones presidenciales en Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico

#JuventudDeportivaDeOro
https://t.co/ld4jfHeNCk https://t.co/Z75KVwQkH3",negative
"El candidato a la Presidencia de Colombia Gustavo Petro promete restablecer las relaciones con Venezuela si gana las elecciones y llega a la Presidencia.

https://t.co/XM8QX8IaLk",neutral
"Puedo apostar, que detrás de todo lo que está sucediendo hoy en Colombia, está la mano siniestra de un venezolano especializado en hacer ganar elecciones a la derecha Fascista.
El mismo que los hizo ganar con el NO a la paz.",negative
"Pese a aproximarse las elecciones presidenciales en #Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico, quien fue asesinado en el departamento de Sucre. 
https://t.co/hBj2dAdLDE
 vía @Agencia_VN https://t.co/WgaZLzY2hW",negative
"@ghitis Esto solo demuestra que la derecha en Colombia es tibia, es cobarde. Si no, miren al @Registraduria, se robó las elecciones al Senado y nada hicieron los de la supuesta derecha.",negative
"Un paro armado decretado por un puñado de delincuentes narcotraficantes tiene encerrada a la gente en sus casas a punta de terror. El gobierno de Iván Duque dejó a la población a su suerte, y a 20 días de elecciones lo único que tenemos es miedo. En Colombia todo está muy miedoso https://t.co/hlRUr5bJ9Q",negative
"Se me hace valioso compartir este párrafo en épocas de elecciones en Colombia. Si la educación va ser gratuíta, vale la pena cuestionarse ¿Qué tipo de educación? ¿Cómo se sostendrá? https://t.co/HVjEQfBgzY https://t.co/O1u3cygERQ",neutral
"#UribeDioLaOrden el viejo no quiere dejar en paz al país, hizo a colombia invivible para ganar las elecciones. #LaOrdenVieneDeArriba #LaOrdenVieneDeUribe",negative
🧐🧐Elecciones en Colombia: Iglesia entrega Evangelios a candidatos presidenciales https://t.co/IAu7oEjQEU vía @aciprensa,neutral
"El criminal narcotraficante @IvanDuque busca con desespero crear estado de conmoción nacional que le permita suspender las elecciones presidenciales ante la innegable superioridad electoral del candidato @petrogustavo. El uribismo en #Colombia es capaz de cualquier cosa, ¡pilas! https://t.co/5afrk9TrQK",negative
Cuando son las elecciones en colombia ?,neutral
@Fercho10615798 Ya la justicia bien justa de Colombia nego la destitución del Registrador así q ojo en las elecciones,negative
"@ELTIEMPO Que lo diga antes de las elecciones en Colombia. Eso es un delito, claro que con estas cortes en Colombia vendidas a la izquierda todo es posible",negative
(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/Qp16PJZguR,neutral
"@Lucho_Matto @JulianFMartinez @IvanDuque @DNP_Colombia que van a retener cedulas de trabajadores hasta despues de las elecciones. Suplantacion de identidad.
Propongo: ordenar a Los jurados que tienen que preguntar al votante la fecha de nacimiento y numero de cedula.
si no se la saben toca ver si son los dueños reales de esa cedula.",neutral
"Con apoyo de @CNE_COLOMBIA @Doris_MendezC nos va a robar Las próximas elecciones presidenciales,  ahora está suplantando a @FiscaliaCol atacando a @CeDemocratico para defender sus aliados los parásitos izquierdistas disfrazados de docentes @fecode . https://t.co/wBM1ge2mcZ",negative
"Con apoyo de @CNE_COLOMBIA @Doris_MendezC nos va a robar Las próximas elecciones presidenciales,  ahora está suplantando a @FiscaliaCol atacando a @CeDemocratico para defender sus aliados los parásitos izquierdistas disfrazados de docentes @fecode . https://t.co/wBM1ge2mcZ",negative
"A pocas semanas de las elecciones presidenciales en Colombia, el internacionalista argentino Juan Pablo de María dialogó con GPS Internacional para analizar las perspectivas en torno a las implicaciones de una eventual victoria de Petro para la integración latinoamericana.",neutral
"Cómo que regañan? Ésto es inaudito, cómo no lo suspenden de su cargo? Yo no sé si es un inepto o un tramposo o las dos? No puede tener ese cargo para las presidenciales!!!!! https://t.co/hSGaqSukpR",negative
"Le pedí a ⁦@ElyangelicaNews⁩ , destacada periodista venezolana en el exilio, que le hablara a Colombia y nos contara sobre su país y nuestras elecciones. Esta es una #CartaDesdeElFururo 

Mi columna en ⁦@RevistaSemana⁩ 👇🏻 https://t.co/ZJAOCFSEMj",neutral
"@magally_zapata Apoyo esa idea no podemos quedarnos quejadonos en Twitter mientras el registrador la izquierda esperan para robarse las elecciones Colombia, merece unas elecciones justas @PGN_COL moviliccemonos a las diferentes registraduria hasta q renuncie  registrador",negative
"@magally_zapata Apoyo esa idea no podemos quedarnos quejadonos en Twitter mientras el registrador la izquierda esperan para robarse las elecciones Colombia, merece unas elecciones justas @PGN_COL moviliccemonos a las diferentes registraduria hasta q renuncie  registrador",negative
"@losdanieles ¿Sería posible conocer sus argumentos (de todo el equipo de los danieles) acerca de por quién ""votarían""? Me y nos yudaría mucho a una cantidad de personas que no tenemos claro cómo aportarle a Colombia en las próximas elecciones.",neutral
"Aprovechando la coyuntura del PARO ARMADO en Colombia, voy a hacer la siguiente encuesta sin artimañas de formulación.

Tu experiencia personal de las elecciones es:

A) Un proceso libre y democrático de deliberación racional
B) Un ABSURDO",negative
"@FicoGutierrez @DANE_Colombia Usted que sabe de finanzas? Ya Uribe le escribió lo que tenia que decir, cállese más bien y no escriba pendejadas, el país está ardiendo por órdenes del matarife para boicotear las elecciones y Usted hablando estupideces de las cuales no tiene ni idea. Usted no está apto",negative
"¿Qué es la Ley de Garantías y por qué la Corte Constitucional tumbó su reforma?
https://t.co/ONIELKP4wg https://t.co/0KuEhWcVlz",neutral
"@HELIODOPTERO @cataboc El propósito es que halla elecciones en una Colombia aterrorizada. No podemos caer nuevamente en la trampa, votemos bien. No podemos permitir que el innombrable siga gobernando. Nuestro país necesita un cambio urgente.",negative
Ojalá las elecciones en Colombia también se desarrollen en Paz. Pero hay territorios donde la guerra civil continua y hay presencia de Carteles de droga. El Ejército de Colombia es el responsable de garantizar condiciones a votantes,negative
Petro retomará lazos con Venezuela si llega a Presidencia de Colombia https://t.co/U2HIRmOSsR,neutral
"El candidato presidencial Rodolfo Hernández se refirió en Sigue La W sobre las alianzas políticas de cara a las elecciones.
https://t.co/DuBfISBrHx",neutral
"campaña de Gustavo Petro,
Algo que el político colombiano, candidato de la izquierda a la presidencia de Colombia en las próximas elecciones del 29 de mayo, ha negado.
Sin embargo, cuando el pasado mes de abril se trasladó a Madrid para tomarle declaración la magistrada de la...",neutral
"@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Así era que el centro demoníaco obtenía mayorías en las últimas elecciones. Y como tenían su material, ahora sí lo publican. Quién sabe que más fechorías propias les falta por sacar para inculpar a PETRO PRESIDENTE",negative
"fallas que encontró  @PGN_COL en elecciones a Congreso https://t.co/6dpBhQIKtW y a pesar de todo los aliados de Petro.. Tibisay Lucena C @CNE_COLOMBIA @Doris_MendezC son tan descarados en afirmar que Las elecciones de congreso fueron transparentes , nos van a robar de nuevo",negative
".@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/oB0KwVMmkn",neutral
"@LevyRincon INFAME AUN MAS ES: Aprovechar esta imagen para recordarle a Colombia el miedo y terror que produce la guerrilla. Aunque hoy día estos grupos criminales fueron superados y reemplazados por El uribismo, el  Clan del Golfo  y otros.
Siempre sucede unas semanas antes de elecciones.",negative
"@Danielacad3 FICO PRESIDENTE Y SIN TANTA VUELTA
Y Petro el candidato eterno, que alguien le haga un dibujito ya que le hemos dicho en repetidas ELECCIONES que Colombia NO lo quiere y el nada que entiende y pretende robarse las elecciones a fraude , amenazas , terror o comprando conciencias",negative
"@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA El congreso electo es ilegítimo, no debe posesionarse.
Las elecciones parlamentarias fueron fraudulentas y deben repetirse.
El registrador debe ser retirado del cargo, debe haber una purga en la registraduria.
Cárcel para quienes se les comprueben delitos electorales.",negative
"@AABenedetti Pero son ustedes los que siembran el terror...Colombia entera los sabe y les cobrará duró en las elecciones próximas, saldrán como pega de guama de la actividad política...no habrá tolda qué lo reciba con su prontuario y él de sus amigotes.",negative
"El paro armado está hecho bajo la excusa de la extradición de Otoniel, esto creo más que todo es para meter miedo en la cercanía de las elecciones presidenciales, no sé a que candidato perjudicaría más? 
Pero volvimos a las épocas muy oscuras de la guerra en Colombia.",negative
"@EliorCymbler @marwhite01 @PalomaValenciaL @MariaFdaCabal @RafaNietoLoaiza El Hampón @Registraduria sigue adelante con su proyecto de robarnos Las elecciones presidenciales a favor de Petro, No podemos confiar en @CNE_COLOMBIA @Doris_MendezC pese a encontrar fraude en elecciones de congreso han manifestado que fueron transparentes, votar 2 veces legal?",negative
"@ramsisHG7 @arnold3m @Camilo_QuevedoC @PATATAdibujo A ver papito, estas son las elecciones presidenciales. Por si no sabía un presidente dirige todo un país, en este caso Colombia, el cual incluye también a Cali. Así que no importa el color de piel o la ciudad, a todos nos incumbe pedazo de tarado y racista",negative
"Lo más visto del día: @LaNocheNTN24: '¿Por qué cree usted que debe ser suspendido Alexander Vega, Registrador Nacional del Estado Civil a 23 días de las elecciones presidenciales en Colombia? Responde el abogado constit… https://t.co/GYNN43Mzj2, see more https://t.co/V2dteOMxQQ",neutral
"@LaNocheNTN24 @CGurisattiNTN24 @Germancalderon1 @JeffersonNTN24 NO TENGO CONFIANZA EN EL CNE, NI EN LA REGISTRADURIA. Es evidente que han mucho dinero de por  medio para favorecer a Gustavo Petro, porque el y todo el mundo sabe que si no es robándose las elecciones nunca va a ser presidente. La Democracia Colombia nunca a estado tan amenazada",negative
"@montanertwiter Te pido que ores con todo tu corazón por el bien de Colombia, para que no nos caigamos en desgracia en las próximas elecciones. Gracias 🙏🏼",positive
@NTN24 Ayúdenos Claudia en@el@exterior que las ong hablan mal del colombia y creen buenos a los bandidos guerrillero … nos quieren Tovar las elecciones,negative
"@OBJECONCIENCIA @HamonJairo @waldoalarconho1 @BeatrizCano25 @darimer_g @petrogustavo @Registraduria @CNE_COLOMBIA De que sirve que Colombia vote por @FicoGutierrez sí el Hampón @Registraduria nos va a robar Las próximas elecciones presidenciales con el apoyo de Tibisay Lucena colombiana @CNE_COLOMBIA @Doris_MendezC , ellos son aliados de Petro. @PGN_COL despierte, @FiscaliaCol adiós país.",negative
"Si Duque ""NO actúa contra el @RegistraduraCol y el @CNE_COLOMBIA ante el robo de las elecciones del 13 de marzo y deja todo igual para el 29 de mayo, pasará a ocupar el primer lugar de Santos, porq será traidor y con él se robaron elecciones del congreso y de presidencia...!",negative
"@Soylaauraaa @richiparedesh Dios que angustia. Ojalá alguien haga algo. Que impotencia. Si quieren que se queden con las elecciones, pero que dejen a Colombia en paz.",negative
"@Soylaauraaa @richiparedesh Dios que angustia. Ojalá alguien haga algo. Que impotencia. Si quieren que se queden con las elecciones, pero que dejen a Colombia en paz.",negative
"@NTN24 se siente el sesgo de parte del CNE,por parte de ese magistrado además dice que está investigando pero están es ganando tiempo a que pasen las elecciones no están pensando para nada en Colombia.",negative
"@FicoGutierrez La guajira solo es parte de Colombia en época de elecciones solamente 
Cuando llegan al poder ni se acuerdan",negative
"@EEColombia2020 @JEP_Colombia Lo de la guerrilla que espere, estamos en elecciones y hay que impulsar al candidato guerrillero ( Petro) , todo los que sea falsos positivos , autodefensas y que sirva para ensuciar a Uribe injustamente hay que filtrarlo ya !!!!!",negative
"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. 🇨🇴 parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?....",negative
"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. 🇨🇴 parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?....",negative
"@Enrique_GomezM Hay que sacar al registrador y desbaratar lo que deben tener planeado para robarse las elecciones. Procuradora y fiscalía, está en sus manos salvar a Colombia de las garras del señor de las bolsas y sus malandros.",negative
@PGN_COL @moecolombia @Transparente1co @MinInterior @CNE_COLOMBIA @IvanDuque @mluciaramirez @FiscaliaCol 🔴🔴QUÉ ESTÁN ESPERANDO PARA ACTUAR???  HAY SUFICIENTES PRUEBAS DE FRAUDE EL 13 DE MARZO!!🆘NO HAY GARANTÍAS PARA LAS ELECCIONES PRESIDENCIALES EN COLOMBIA‼️@Almagro_OEA2015 https://t.co/zgcvhu5HSj,negative
"En #QuímicaEnLaFórmula, la candidata Ingrid Betancourt contó qué tanto sabe de su fórmula, en el camino a la Presidencia de Colombia ⬇️ https://t.co/KTgkWN1G2H",neutral
@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta,negative
@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta,negative
"@MONYRODRIGUEZOF Piensan sabotear las elecciones, sospechoso si es a días de las elecciones y el ejército de Colombia nuestros héroes, brillan por su ausencia por algo será ...",negative
"@_RoqueCastro Roque visualiza tu candidato ganador,visualiza la victoria de COLOMBIA. No declaren a ese hombre ganador. Trabajen su localidad Colombia está a Tiempo de salvar su pellejo y bueno toca trabajar duro..en estos días que quedan para las elecciones. 💪💫🙏🙌",positive
"@RevistaSoHo Resultado de las elecciones: 
80% que se vaya Marbelle de Colombia
15% todos demás candidatos
5% voto en blanco ns/nr",negative
@JulianFMartinez @IvanDuque @DNP_Colombia Por ahí escuché que no van a comprar votos sino que que van a pagar por retener las cédulas hasta después de las elecciones,negative
"@HELIODOPTERO @petrogustavo El que llena plazas cada 4 años le votan el día de elecciones los mismos 4 millones, pero claro el mismo cuento que dizque le roban las elecciones. Colombia le dirá No a  Petro por enésima vez.",negative
"#ParoArmado nos afecta a todos está ola de violencia antes de elecciones , anhelo ver a mi colombia sin violencia , en paz , pero creo que es soñar despierto  😕",negative
"@davoelbravo @CARLOSFMEJIA @el82ye78 @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Por qué cree que no hacen nada, por la sencilla razón que no hay nada, no existen evidencias, perdieron las elecciones.",negative
"#ColombiaDecide | Fajardo les respondió a quienes le piden un encuentro con Gustavo Petro

https://t.co/5IhrL6apo4",neutral
"@MariaFdaCabal El @CNE_COLOMBIA  es de izquierda ,por eso la democracia de colombia esta en peligro...no tocan al registrador vega y se la pasan sacando encuestas chimbas donde gana el kk...nada q hacer no hay garantías ,nos van a robar las elecciones para montar a petro.",negative
"@RoxanaKreimer Colombia, Roxana las cosas están terribles acá, el 29 de mayo son las próximas elecciones presidenciales.",negative
"@lauraro Yo vote por el NO y hoy siento que nos podría pasar lo mismo con las próximas elecciones si no actuamos unidos!!
Dejemos el odio irracional, aquí se trata es de salvar el presente y futuro de Colombia!
Quien más se une??",positive
"Que sentirá el registrador nacional de Colombia que los ciudadanos no le tienen confianza en su trabajo que dejó que pasaran irregularidades en su misión y que su trabajo es oscuro por el montón de casos ilegales en las elecciones de congreso , las cortes mirando para otro lado.!",negative
Las próximas elecciones en Colombia. Demócrata. https://t.co/MolYppvL8o,neutral
"‼️ESTE ES EL NÚMERO UNO EN LA @Registraduria CUMPLIENDO
CON LA “MISIÓN” y “VISIÓN”DE
NEGOCIAR RESULTADOS EN LAS
ELECCIONES DE COLOMBIA‼️ https://t.co/dpErXAOzS1 https://t.co/OvRAyhSRG8",neutral
"Colombia murió el día q J.M. Santos fué elegido presidente. No fué al azar la denominación ""Día D"" q se le dió al supuesto ""primer día de paz"" luego d la firma d la rendición del estado ante el narcoterrorismo d las farc. No obstante les diremos NO aunque se roben las elecciones. https://t.co/OqmnQdbn8O",negative
¡TOMA NOTA! La violencia del conflicto armado en Colombia resurge antes de las elecciones https://t.co/fPOo1Fwjq7,negative
@PGN_COL S.O.S. Colombia no podemos permitir que nos roben las elecciones. Viva @PalomaValenciaL gran patriota https://t.co/N9ro2Fy5fF,negative
Que mierda que los favoritos a ganar las elecciones tengan todos escándalos de corrupcion XDD ay mi Colombia,negative
"#ColombiaDecide | Petro sobre arremetida de Clan del Golfo: “Quien mataron en Sucre es militante del Pacto Histórico”. 

El candidato habló al respecto durante acto de campaña en Valledupar https://t.co/o16oE6dF2C",negative
Ya nos habían dicho que iban a ser una de las elecciones más violentas de Colombia. Duele el país. #ParoArmado https://t.co/XKULPQogXr,negative
"La diferencia entre las elecciones de Venezuela 1999 y Colombia 2022, es que en Colombia ya ""vimos el futuro"".

En el momento en que el socialismo llegue al poder, el empresario se va del país.

El empobrecimiento del país será a mayores velocidades.",negative
"No les parece raro q a pocos días de las elecciones presidenciales en colombia extraditen un narcotraficante para ocultar la verdad, y como consecuencia de esto desencadena un paro armado en algunas regiones del país. Quieren salvar a colombia de Petro! Se necesita un cambio ya!!",negative
"Mucho discurso barato, mucho bla...bla...bla y 200 Vehículos quemados, el Club del Clan con el Control en todo el País. Acá Iván Duque no es el Presidente, Otoniel le dió Golpe de Estado, las Elecciones Controladas por Fraude, y, Colombia en guerra, pero aquí no ha pasado nada.",negative
"@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Y es que la procuraduria existe en colombia ?vea ps ,la hora de aparecer a 15 dias de elecciones presidenciales cuando ya no hay nada que hacer muy charros",negative
"En la Video Columna de La Conversa, este sábado 8:00 p.m.,  análisis sobre la actualidad política y social de Colombia, a escasos días de elecciones presidenciales. https://t.co/DcJRYFli9t",neutral
"@Rettador @petrogustavo @Registraduria @PactoHistorico SI COLOMBIA QUIERE TENER UNAS ELECCIONES DIÁFANAS LIMPIAS Y TRANSPARENTES 
DEBE RETIRAR ESE REGISTRADOR Y TERMINAR EL NEFASTO CONTRATO CON INDRA 
O SE PIERDE LA DEMOCRACIA LA LIBERTADAD DE LOS COLOMBIANOS Y EL PAÍS. 
NO AL REGISTRADOR EN ELECCIONES PRESIDENCIALES.",negative
"@Karlaarcila Un día un traidor infame, se robó un plebiscito, ilegalmente lo implementó, el congreso lo avaló cómplice del robo pues sus representados dijeron No, como pueblo dormido no protestamos de forma  contundente, por eso hoy se quieren robar las Elecciones. Hay que salvar a Colombia. https://t.co/nwTpis2e8C",negative
@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Hace 4 años un perro rabioso se robó las elecciones,negative
"Qué buena esta herramienta de @elespectador para encontrar el candidato afín a la visión de país que uno quiere. #Recomendada ✅
Útil y pedagógica. 
#MatchPresidencial 
https://t.co/mIcCgFHjXy",positive
Parece que Petro quiere incendiar a Colombia antes de las elecciones!,negative
"El candidato a la Presidencia de Colombia Gustavo Petro, anunció este viernes que retomará las relaciones diplomáticas con Venezuela si gana las elecciones y llega a la jefatura del Estado colombiano.",neutral
"Procuraduría alerta que 2925 jurados de votación están inhabilitados para estar en las presidenciales.
6 de mayo 2022
https://t.co/J4x8h9QGBR",neutral
"@JuanDanielMos19 Pendejo eso ya pasó en 2018, parece que tú y las putas uribistas no saben ni que pasó en las elecciones de cada 4 años, otra prueba que en Colombia en un país de mierda con gente muy pendeja.",negative
"@NHolhuin @alezandrazam72 Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
https://t.co/DRb5uWlUa3",neutral
Haga “match” con la elección presidencial | EL ESPECTADOR https://t.co/nl4e0pwVr4,neutral
@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Deberían hacer traslados de los REGISTRADORES  REGIONALES LOCALES . Evitar que se queden en los mismos sitios de las elecciones para congreso y consulta.,neutral
(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/nSvSYkakSV,neutral
"@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA #PorMiPaísYo Yo exijo garantías para las elecciones Presidenciales, No hay garantías electorales con el Registrador Vega.",negative
"¿Se retirará un candidato presidencial? Esto respondieron los candidatos ante la pregunta de El Espectador en el debate organizado en Eafit, en Medellín. 
https://t.co/XTfCIWOp9Z",neutral
"La polarización nos destruye!

Menos mal que la mayoría de colombianos tenemos ideología de centro! Tenemos el poder de salvar a nuestra familia de esta crisis que se avecina!

La opción de cambio es @sergio_fajardo
#FirmesConFajardo
#UnPresidenteProfesor

https://t.co/GF4Fb9yOaz",negative
@JhonFalcon11 @KamiloAlvarez @LEO0492 @ecoaneko @fdbedout @donarielm @CesarPachonAgro @LauraMMoficial @LuzMBernalParra @Betocoralg https://t.co/LqVeIRR8oh ello pollo Carvajal va a cantar y Petro va tener que correr.,negative
@ANIABELLO_R @Karlaarcila tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative
@ernestomaciast @Registraduria @PGN_COL tienen las elecciones cuadradas para que gane el hampón de @petrogustavo como sea.Yo no creo en la @Registraduria ni en @IndraenColombia que tiene cuestionamientos de su software en otros países pero la @CGR_Colombia @PGN_COL @CNE_COLOMBIA pasan de agache y no dicen ni hacen nada,negative
"Rodolfo Hernández: “Fajardo como que ya pasó a la historia”. 
https://t.co/TNKkWRoArj

#Elecciones2022 #ColombiaDecide https://t.co/15lS8za2CK",negative
En Colombia con las elecciones,neutral
"@DIAPOLA @MargaritaRepo @caballobraulio @petrogustavo @PGN_COL @CNE_COLOMBIA @IvanDuque @infopresidencia ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES cesaraugustoramirezvalencia@gmail.com si me das tu correo envío tutela. GRACIAS UNIDOS GANAMOS #FICOPRESIDENTE  https://t.co/KpcXgLOFOJ",negative
"Occidente es debil solo había atacar a Colombia con paro nacional, elecciones limpias, Rusia atacara Ucrania lavadero de Nazis, China bloqueara su cadena suministro y Patron oro volviera
Bitcoin se expanda en todo el mundo",negative
@BOLIBAR2 @AndresPastrana_ @santiagoangelp Dios lo oiga!!!  🆘Colombia!  No hay garantías para las elecciones presidenciales 2022!!! @Almagro_OEA2015 @PGN_COL @moecolombia @Transparente1co @MinInterior @marcorubio @MaElviraSalazar @cayetanaAT @IvanDuque @mluciaramirez @soyfdelrincon @patriciajaniot 🆘Colombia!!,negative
"El pedido que le hizo la Conferencia Episcopal a los candidatos presidenciales.

https://t.co/ODJYR5Pk6u https://t.co/lgKq03wQma",neutral
"Se acercan las elecciones presidenciales en Colombia y las comparaciones con Venezuela han sido inevitables.  ¿Está Colombia como Venezuela? #Análisis  por @jgmartinez522

Haz clic en el video para más detalles 👇
 https://t.co/zfKDhPWfAK",neutral
"Yo no tengo ni beneficios ni problemas derivados de las elecciones presidenciales en Colombia 2022.

Elijan a quien elijan, el 30 de mayo me toca ir a trabajar y el 8 de agosto creo que también.",neutral
